Date,Open,High,Low,Close,Volume
2025-01-02,478.6,482.17,477.85,479.06,41291752
2025-01-03,477.3,481.04,476.67,478.51,37611244
2025-01-06,476.87,479.07,471.89,475.28,26456870
2025-01-07,475.79,480.08,470.92,473.44,36280497
2025-01-08,471.63,482.31,470.12,478.38,27193183
2025-01-09,477.61,481.38,474.46,475.59,42937605
2025-01-10,475.08,480.18,474.36,477.49,24145642
2025-01-13,478.21,480.42,473.89,475.49,43080227
2025-01-14,474.69,479.4,471.75,475.72,30787474
2025-01-15,475.82,481.04,472.77,477.04,32365759
2025-01-16,475.51,484.19,472.36,482.01,27471443
2025-01-17,480.17,485.74,476.99,482.56,42628933
2025-01-20,481.82,489.88,479.24,486.59,42876227
2025-01-21,487.95,492.23,484.69,486.85,45909479
2025-01-22,487.66,490.74,479.57,483.55,51589292
2025-01-23,483.09,486.26,481.68,482.26,38621030
2025-01-24,480.73,481.46,476.73,479.92,26656247
2025-01-27,479.48,483.47,477.52,478.3,38170746
2025-01-28,479.83,483.61,475.87,479.39,32023158
2025-01-29,478.83,483.32,474.98,479.28,27433152
2025-01-30,478.21,479.64,474.82,477.02,43208446
2025-01-31,475.03,477.71,473.24,475.53,42388284
2025-02-03,476.29,482.82,473.63,480.26,46343202
2025-02-04,481.86,485.48,473.33,476.9,50723432
2025-02-05,476.49,477.49,473.77,476.58,24240921
2025-02-06,475.41,476.56,471.64,473.33,23892721
2025-02-07,471.94,472.84,467.71,469.48,22918031
2025-02-10,469.94,474.6,468.56,473.5,34506023
2025-02-11,472.0,476.83,468.02,472.93,38775620
2025-02-12,471.27,474.34,469.58,473.44,31531248
2025-02-13,472.08,477.64,468.25,477.05,41017266
2025-02-14,477.22,477.83,472.17,474.51,57226044
2025-02-17,475.3,479.98,473.52,478.43,28013513
2025-02-18,478.57,485.15,476.91,481.53,30029500
2025-02-19,483.47,488.9,480.15,484.99,51459985
2025-02-20,483.89,490.37,482.15,487.79,23043285
2025-02-21,486.91,488.45,481.27,484.2,56434542
2025-02-24,485.94,490.4,480.53,484.37,35126891
2025-02-25,483.28,484.57,481.29,482.51,44466390
2025-02-26,483.87,489.18,481.08,486.76,50787174
2025-02-27,487.4,491.54,480.43,483.67,49005056
2025-02-28,482.39,487.78,480.72,484.12,50829648
2025-03-03,483.71,491.12,479.89,489.02,48092751
2025-03-04,487.53,488.63,483.03,486.7,51034071
2025-03-05,488.0,492.43,481.36,484.16,34614670
2025-03-06,482.69,485.81,478.79,485.25,45388288
2025-03-07,486.99,489.22,482.59,486.14,51741589
2025-03-10,485.15,486.82,482.85,484.19,43111738
2025-03-11,483.87,484.89,478.99,482.67,34736224
2025-03-12,483.01,487.13,480.98,482.95,55037959
2025-03-13,483.08,486.21,482.51,483.61,37844496
2025-03-14,481.63,485.33,480.31,481.41,39045745
2025-03-17,481.64,485.89,479.32,484.09,41995907
2025-03-18,482.51,490.04,481.14,487.3,31969014
2025-03-19,487.33,493.14,484.17,490.4,54849569
2025-03-20,490.85,493.37,488.24,490.54,46938316
2025-03-21,490.67,493.17,486.87,490.76,47171843
2025-03-24,492.53,496.33,490.07,494.8,55957613
2025-03-25,493.34,499.49,491.3,498.51,24611659
2025-03-26,496.8,500.0,493.55,496.82,54292951
2025-03-27,497.69,500.83,493.36,494.36,53781982
2025-03-28,493.24,503.53,491.35,499.22,39541387
2025-03-31,500.55,505.42,498.54,504.28,40561782
2025-04-01,503.06,505.25,500.03,503.48,22701385
